path_length,special_chars,is_threat
26,1,0
14,0,0
6,1,0
27,0,0
19,1,0
23,0,0
16,1,0
14,1,0
13,1,0
20,0,0
24,1,0
23,1,0
34,0,0
22,1,0
25,1,0
10,0,0
32,1,0
31,1,0
17,0,0
6,0,0
6,1,0
20,0,0
32,0,0
18,0,0
140,7,1
12,1,0
15,1,0
31,1,0
31,0,0
31,1,0
34,1,0
18,1,0
29,1,0
12,0,0
30,1,0
26,0,0
13,1,0
16,1,0
33,0,0
126,9,1
23,0,0
19,0,0
25,1,0
34,0,0
32,1,0
7,1,0
35,1,0
17,0,0
136,12,1
30,1,0
7,0,0
28,1,0
20,0,0
9,0,0
8,1,0
18,1,0
27,1,0
11,0,0
20,0,0
75,8,1
23,0,0
34,0,0
27,1,0
10,0,0
22,0,0
78,12,1
26,0,0
24,0,0
23,0,0
148,16,1
27,1,0
11,0,0
34,1,0
18,0,0
29,0,0
23,1,0
13,0,0
15,1,0
30,0,0
22,1,0
23,0,0
32,1,0
10,0,0
22,0,0
21,1,0
5,0,0
35,0,0
59,15,1
91,17,1
17,1,0
22,1,0
20,1,0
17,1,0
83,7,1
20,0,0
28,0,0
15,1,0
20,0,0
24,1,0
33,0,0
30,1,0
144,10,1
78,9,1
126,11,1
14,0,0
149,16,1
25,0,0
32,1,0
22,0,0
7,1,0
26,0,0
13,1,0
11,0,0
29,1,0
14,1,0
21,1,0
25,1,0
17,1,0
26,0,0
23,0,0
15,1,0
130,19,1
35,0,0
11,1,0
22,1,0
20,1,0
25,1,0
105,12,1
8,0,0
21,0,0
11,1,0
23,1,0
142,17,1
9,1,0
7,0,0
6,0,0
26,0,0
31,1,0
17,0,0
14,1,0
26,1,0
7,0,0
34,1,0
31,1,0
19,1,0
52,17,1
26,1,0
11,0,0
10,0,0
16,1,0
7,0,0
32,0,0
11,1,0
13,0,0
133,10,1
10,1,0
8,0,0
11,0,0
64,16,1
22,1,0
6,0,0
8,0,0
27,0,0
15,1,0
83,18,1
19,0,0
8,1,0
149,15,1
8,0,0
34,1,0
5,1,0
35,0,0
22,1,0
24,1,0
26,1,0
141,12,1
11,1,0
19,1,0
12,0,0
15,1,0
14,1,0
30,1,0
70,13,1
34,1,0
6,1,0
35,1,0
25,0,0
26,0,0
21,0,0
28,0,0
30,1,0
16,0,0
34,1,0
5,0,0
22,1,0
25,0,0
62,5,1
28,1,0
11,0,0
17,0,0
126,15,1
7,1,0
35,1,0
9,0,0
9,1,0
34,1,0
30,1,0
32,1,0
22,1,0
14,1,0
34,1,0
24,1,0
21,1,0
18,0,0
26,1,0
15,0,0
110,14,1
12,0,0
14,1,0
10,0,0
8,1,0
12,0,0
27,1,0
32,1,0
19,1,0
5,0,0
26,0,0
20,0,0
35,0,0
20,0,0
34,1,0
12,0,0
23,1,0
10,0,0
64,7,1
6,0,0
9,1,0
6,1,0
13,1,0
25,0,0
126,12,1
14,0,0
68,20,1
15,1,0
18,1,0
94,20,1
7,1,0
35,1,0
83,14,1
21,1,0
15,1,0
8,1,0
7,0,0
23,0,0
7,0,0
12,0,0
95,16,1
12,1,0
16,1,0
23,0,0
136,7,1
6,1,0
24,1,0
23,1,0
25,0,0
21,1,0
8,1,0
32,1,0
5,1,0
129,14,1
35,0,0
22,1,0
16,0,0
15,0,0
34,1,0
31,1,0
27,1,0
27,1,0
27,1,0
35,0,0
14,1,0
114,10,1
32,1,0
18,1,0
28,0,0
8,0,0
8,0,0
115,19,1
78,17,1
71,6,1
9,1,0
32,1,0
22,0,0
34,1,0
17,1,0
18,0,0
8,1,0
28,0,0
26,0,0
16,0,0
24,0,0
33,0,0
6,1,0
97,5,1
64,17,1
13,0,0
23,1,0
32,0,0
25,1,0
147,10,1
22,1,0
10,0,0
19,0,0
25,1,0
34,0,0
17,0,0
111,5,1
28,0,0
59,10,1
16,0,0
7,0,0
134,6,1
72,20,1
29,0,0
28,1,0
142,12,1
25,0,0
31,1,0
25,1,0
17,0,0
125,5,1
21,0,0
28,0,0
16,0,0
10,0,0
12,1,0
21,1,0
28,1,0
13,1,0
57,20,1
30,0,0
107,8,1
21,1,0
17,0,0
24,1,0
23,1,0
21,0,0
24,0,0
19,0,0
54,14,1
103,7,1
8,0,0
5,0,0
8,0,0
5,0,0
28,0,0
34,1,0
6,0,0
30,0,0
34,0,0
16,1,0
12,0,0
22,1,0
31,1,0
33,1,0
54,17,1
35,0,0
14,0,0
15,0,0
116,10,1
25,0,0
5,0,0
61,5,1
18,1,0
29,1,0
34,0,0
19,0,0
150,11,1
33,0,0
25,0,0
27,0,0
32,1,0
29,0,0
114,7,1
138,16,1
12,1,0
12,0,0
10,0,0
106,20,1
10,1,0
32,0,0
22,1,0
30,1,0
25,0,0
142,16,1
7,0,0
27,0,0
34,0,0
13,1,0
28,1,0
6,0,0
52,7,1
5,1,0
31,0,0
23,0,0
33,1,0
71,15,1
32,1,0
27,0,0
117,6,1
29,1,0
113,19,1
110,10,1
9,1,0
130,9,1
18,1,0
22,1,0
28,1,0
35,1,0
63,9,1
33,0,0
17,1,0
